Name,Formula,ChEBI_ID,Molecular_weight,Ontology,Xlogp3,week3,week6,week9,week12
N-acetyl-D-glucosamine ,C8H15NO6,506227,221.2078,Sugars,-1.16,3.82E-01,3.22E-01,2.66E-01,3.00E-02
nicotinic acid,C6H5NO2,15940,123.10944,Organic acids,0.36,7.91E-02,3.50E-01,5.19E-01,5.19E-02
ornithine,C5H12N2O2,18257,132.16106,Amino acids,-4.41,8.73E-02,7.08E-01,1.96E-01,8.83E-03
pantothenic acid ,C9H17NO5,7916,219.23502,Organic acids,-1.08,1.86E-01,2.56E-01,5.55E-01,3.52E-03
arabinose,C5H10O5,22599,150.1299,Sugars,-2.32,2.85E-01,2.23E-01,4.26E-01,6.56E-02
D-ribose,C5H10O5,16988,150.1299,Sugars,-1.27,2.07E-01,3.47E-01,4.24E-01,2.24E-02
xylose,C5H10O5,18222,150.13,Sugars,-2.32,2.21E-01,2.72E-01,5.02E-01,5.85E-03
phenylalanine ,C9H11NO2,28044,165.18918,Amino acids,-1.52,1.02E-01,5.25E-01,3.68E-01,4.91E-03
proline ,C5H9NO2,26271,115.1305,Amino acids,-2.5,1.12E-01,3.49E-01,5.00E-01,3.90E-02
salicylic acid,C7H6O3,16914,138.1207,Organic acids,2.26,1.93E-01,5.38E-01,1.73E-01,9.60E-02
serine ,C3H7NO3,17822,105.09262,Amino acids,-3.07,9.40E-02,3.89E-01,5.15E-01,2.37E-03
shikimic acid,C7H10O5,16119,174.1513,Organic acids,-1.72,2.44E-01,2.59E-01,4.44E-01,5.38E-02
sinapyl alcohol,C11H14O4,28813,210.2265,Organic acids,-1.72,2.20E-01,2.14E-01,1.82E-01,3.84E-01
stachyhydrine,C7H13NO2,86534,143.1836,Organic acids,-1.87,4.90E-03,2.10E-02,5.83E-02,9.16E-01
succinic acid,C4H6O4,15741,118.088,Organic acids,-0.59,1.46E-01,4.70E-01,3.80E-01,3.60E-03
inositol,C6H12O6,17268,180.15588,Sugars,-3.71,2.08E-01,4.04E-01,3.61E-01,2.65E-02
syringic acid,C9H10O5,68329,198.1727,Organic acids,1.04,5.31E-02,5.10E-01,4.22E-01,1.58E-02
taurine,C2H7NO3S,15891,125.148,Organic acids,-4.11,1.70E-01,3.61E-01,2.57E-01,2.12E-01
thiamine,C12H17N4OS,18385,265.35574,Organic acids,1.02,6.16E-02,4.18E-01,4.98E-01,2.20E-02
threonic acid,C4H8O5,26984,136.103,Organic acids,-2.13,5.09E-01,1.56E-01,3.25E-01,9.80E-03
threonine ,C4H9NO3,26986,119.119,Amino acids,-2.94,2.61E-01,3.92E-01,3.44E-01,3.46E-03
thymidine,C10H14N2O5,17748,242.2286,Nucleotides,-1.17,1.60E-01,3.95E-01,4.40E-01,6.00E-03
trans-cinnamic acid,C9H8O2,35697,148.15862,Organic acids,2.13,2.67E-02,6.20E-01,3.17E-01,3.66E-02
trans-ferulic acid,C10H10O4,17620,194.184,Organic acids,1.51,1.42E-02,7.10E-01,2.29E-01,4.68E-02
trigonelline,C7H7NO2,18123,137.13602,Organic acids,-4.29,1.27E-01,2.32E-01,3.90E-01,2.51E-01
tryptophan,C11H12N2O2,27897,204.22526,Amino acids,-1.06,6.05E-02,4.12E-01,5.06E-01,2.15E-02
uracil,C4H4N2O2,17568,112.08684,Nucleotides,-1.07,1.89E-01,4.35E-01,3.64E-01,1.22E-02
uridine,C9H12N2O6,16704,244.20146,Nucleotides,-1.98,1.87E-01,4.12E-01,3.98E-01,3.09E-03
valine ,C5H11NO2,27266,117.14638,Amino acids,-2.26,1.51E-01,5.04E-01,3.25E-01,2.06E-02
vanillic acid,C8H8O4,30816,168.14672,Organic acids,1.43,6.71E-02,3.99E-01,4.28E-01,1.06E-01
vanillin,C8H8O3,18346,152.1473,Organic acids,1.21,5.06E-02,6.79E-01,1.04E-01,1.66E-01
xanthine,C5H4N4O2,15318,152.111,Nucleotides,-0.73,8.34E-02,5.28E-01,3.83E-01,6.48E-03
linoleic acid,C18H32O2,17351,280.4455,Fatty acids,6.98,1.07E-01,4.53E-01,2.70E-01,1.71E-01
