transporter_density,Vmax,KD,affinity,ontology,name,diffusivity,zdistr,response,genome_size,cell_size,mingt,sav,yield
0.003192071535322798,0.13652748791073435,0.0008627159069722813,158.25312458869607,Amino acids,2-aminoisobutyric acid ,7.283438430355926e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.25
2.5993742222721076e-5,0.0019456035065767196,0.00012704000955187202,15.314887911609494,Organic acids,"2,3-Dihydroxybenzoic acid",6.236957811392702e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.1646153846153846
2.5993742222721076e-5,0.0019456035065767196,0.00013257838652373595,14.675118302396836,Organic acids,3-Dehydroshikimic acid,5.976412903411641e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.1646153846153846
0.0023940536514920987,0.12799451991631347,0.0007066296220567017,181.13381596397736,Amino acids,5-aminovaleric acid,6.933573830169636e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.2
1.0857386174567341e-5,0.0017414220396777345,0.00015126346760119708,11.512509049898002,Organic acids,abscisic acid,5.06461300067235e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.06666666666666667
0.0001062960884223376,0.005682962367246684,0.00014197695528476238,40.02735765003833,Nucleotides,adenine,6.561757090850143e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.42799999999999994
3.54595815965652e-5,0.0037915876447104646,0.00016036825541865135,23.64300612245415,Nucleotides,adenosine,5.043146345943043e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.14266666666666666
0.004961769225890361,0.1591641698441204,0.0012136644177470155,131.14347550831607,Amino acids,alanine,7.706309591310016e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.3566666666666666
4.150263657172499e-5,0.002218876774105873,0.0001286702929597175,17.2446702581188,Organic acids,alpha-ketoglutaric acid ,6.366982937494898e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.26749999999999996
0.0019815342487895476,0.12712773987173348,0.0007033168338091812,180.7545813786463,Amino acids,arginine,5.948956938596418e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.19454545454545452
0.0037213269194177707,0.1591641698441204,0.0010879927821627771,146.29156778754023,Amino acids,asparagine ,6.619042365929271e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.35666666666666663
0.001596035767661399,0.11946155192189256,0.0005707162925682059,209.31862902374704,Amino acids,betonicine,6.159626358465329e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.14285714285714285
1.688926738266031e-5,0.0018059191522583915,0.0001487410511497716,12.141363384879941,Organic acids,biotin ,5.220835253281858e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.1
1.9168147092552687e-5,0.0018446336864177773,0.0001329140525302485,13.878394731798405,Organic acids,caffeic acid,5.872253244478176e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.11888888888888886
0.0023940536514920987,0.12799451991631347,0.0006753244134843128,189.53042028486755,Amino acids,choline,7.254985244552865e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.2
3.3236896452757165e-5,0.002132353517972736,0.000135274119161753,15.763203864761376,Organic acids,cis-aconitic acid,5.950181723713309e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.23777777777777773
3.9399535107294656e-5,0.0037915876447104637,0.00015594842603558484,24.313086967901082,Nucleotides,cytidine,5.229895516174755e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.14266666666666666
0.0005776129444869825,0.037057461004342186,0.0002873485662104287,128.96344496531984,Sugars,rhamnose,6.086902682284674e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.16666666666666666
3.54595815965652e-5,0.0037915876447104646,0.00016036820445922077,23.64301363537813,Nucleotides,deoxyguanosine,5.043147948479325e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.14266666666666666
0.00026423281998489594,0.03390435590516211,0.00026301161334896386,128.90820855190833,Sugars,maltose,4.5836046368265295e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.08916666666666664
0.00026423281998489594,0.03390435590516211,0.00026301161334896386,128.90820855190833,Sugars,sucrose,4.5836046368265295e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.08916666666666664
5.906868126059954e-5,0.0025264153943511175,0.00012211477726735545,20.68885888249084,Organic acids,fumaric acid ,6.958271943930747e-10,0.011627906976744186,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.35666666666666663
0.003192071535322798,0.13652748791073435,0.0008627159069722813,158.25312458869607,Amino acids,aminobutyric acid,7.283438430355926e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.25
0.016702699894130917,0.3571940090687817,0.0036093474647214564,98.96359731504747,Amino acids,glycine ,8.23311072330442e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.7133333333333333
0.0023940536514920987,0.12799451991631347,0.0007066296220567017,181.13381596397736,Amino acids,glycine betaine,6.933573830169636e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.2
0.00013075561844640238,0.006990654782935708,0.00015499420398280904,45.10268515402722,Nucleotides,guanine,6.28436733909175e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.5349999999999999
3.588613305590555e-5,0.003837197524191523,0.00016415827702333664,23.374986590813386,Nucleotides,guanosine,4.93121882168265e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.15285714285714283
0.0005858143453214833,0.037583631850245616,0.0003002733911085974,125.16470977161295,Sugars,fructose,5.872272368802618e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.1783333333333333
0.0005858143453214833,0.037583631850245616,0.0003002733911085974,125.16470977161295,Sugars,glucose,5.872272368802618e-10,0.2209302325581395,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.1783333333333333
0.0020305798570755713,0.13027432052550988,0.0006862487569279204,189.83541931456372,Amino acids,histidine,6.220871716032787e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.21399999999999997
0.003268332630023343,0.13978923676867,0.0009313085202647174,150.09981518147816,Amino acids,homoserine ,6.889021288306671e-10,0.7325581395348837,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.26749999999999996
0.0001062960884223376,0.005682962367246684,0.00014237543590599647,39.915329010819434,Nucleotides,hypoxanthine,6.5433920335261e-10,0.023255813953488372,positive,6679185,2.5373409150352896e-17,7.0,1.6457272122219626e6,0.42799999999999994
