Name,Formula,ChEBI,Molecular_weight,Ontology,Uptake_significance,week3_1,week3_2,week3_3,week3_4,week3,week6_1,week6_2,week6_3,week6_4,week6,week9_1,week9_2,week9_3,week9_4,week9,week12_1,week12_2,week12_3,week12_4,week12,week3_rnorm,week6_rnorm,week9_rnorm,week12_rnorm,rsum
cis-aconitic acid,C6H6O6,32805,174.10824,Organic acids,yes,9.15E+06,497000,1.87E+07,50900,4.82E+06,216000,47900,2.35E+06,85900,1.51E+05,5.14E+06,8.17E+06,266000,4.48E+07,6.66E+06,4350,137000,66300,0,3.53E+04,4.14E-01,1.29E-02,5.71E-01,3.03E-03,1
cytidine,C9H13N3O5,17562,243.21674,Nucleotides,yes,5.57E+07,8.35E+07,5.59E+07,6.23E+07,5.91E+07,1.51E+08,1.78E+08,1.43E+08,1.76E+08,1.64E+08,1.14E+08,1.32E+08,2.23E+08,2.64E+08,1.78E+08,3.11E+06,2.13E+06,1.46E+07,1.79E+06,2.62E+06,1.47E-01,4.06E-01,4.41E-01,6.51E-03,1
rhamnose,C6H12O5,26546,164.157,Sugars,no,3.25E+06,3.51E+06,4.73E+06,3.39E+06,3.45E+06,3.94E+06,4.03E+06,4.78E+06,4.33E+06,4.18E+06,7.02E+06,4.55E+06,3.63E+06,6.81E+06,5.68E+06,8.97E+06,7.10E+06,1.88E+07,7.12E+06,8.05E+06,1.62E-01,1.96E-01,2.66E-01,3.77E-01,1
deoxyguanosine,C10H13N5O4,17172,267.2413,Nucleotides,yes,8.06E+06,2.71E+07,6.50E+06,8.38E+06,8.22E+06,2.39E+07,3.62E+07,2.16E+07,3.13E+07,2.76E+07,1.45E+07,2.08E+07,4.06E+07,5.04E+07,3.07E+07,652000,452000,2.77E+06,261000,5.52E+05,1.23E-01,4.11E-01,4.58E-01,8.23E-03,1
maltose,C12H22O11,17306,342.29648,Sugars,no,7.74E+07,3.42E+07,9.37E+07,5.71E+07,6.73E+07,1.07E+08,7.33E+07,1.03E+08,6.90E+07,8.82E+07,1.87E+08,1.62E+08,2.31E+08,2.87E+08,2.09E+08,2.14E+06,4.69E+06,8.06E+07,3.50E+06,4.10E+06,1.82E-01,2.39E-01,5.67E-01,1.11E-02,1
sucrose,C12H22O11,17992,342.29648,Sugars,no,2.87E+07,1.91E+07,7.44E+07,6.31E+07,4.59E+07,1.71E+07,1.39E+07,1.82E+07,1.57E+07,1.64E+07,7.70E+06,4.17E+06,7.67E+06,1.13E+07,7.69E+06,117000,753000,5.08E+06,296000,5.25E+05,6.51E-01,2.33E-01,1.09E-01,7.44E-03,1
fumaric acid ,C4H4O4,18012,116.0722,Organic acids,no,1.61E+06,1.15E+06,2.52E+06,564000,1.38E+06,4.13E+06,4.63E+06,4.42E+06,4.46E+06,4.44E+06,7.15E+06,6.68E+06,2.83E+06,2.07E+07,6.92E+06,0,7290,6.14E+06,10600,8.95E+03,1.08E-01,3.48E-01,5.43E-01,7.02E-04,1
aminobutyric acid,C4H9NO2,16865,103.1198,Amino acids,no,1.56E+09,1.15E+09,1.98E+09,1.77E+09,1.67E+09,3.16E+09,2.32E+09,2.27E+09,2.46E+09,2.39E+09,2.24E+09,2.13E+09,2.68E+09,5.56E+09,2.46E+09,7.41E+06,2.13E+07,8.14E+08,2.66E+08,1.44E+08,2.50E-01,3.59E-01,3.69E-01,2.16E-02,1
glycine ,C2H5NO2,15428,75.06664,Amino acids,no,8.46E+06,9.25E+06,8.27E+06,6.42E+06,8.37E+06,2.12E+07,1.89E+07,1.65E+07,1.98E+07,1.94E+07,1.12E+07,1.99E+07,1.99E+07,4.91E+07,1.99E+07,506000,509000,6.84E+06,832000,6.71E+05,1.73E-01,4.01E-01,4.12E-01,1.39E-02,1
glycine betaine,"	C5H11NO2",17750,117.14638,Amino acids,no,4.93E+09,4.63E+09,2.86E+09,5.23E+09,4.78E+09,5.94E+09,1.02E+10,8.03E+09,1.09E+10,9.12E+09,1.23E+10,1.07E+10,6.76E+09,1.23E+10,1.15E+10,1.56E+10,1.73E+10,4.79E+09,2.18E+10,1.65E+10,1.14E-01,2.18E-01,2.75E-01,3.93E-01,1
