Name,Formula,ChEBI,Molecular_weight,Ontology,Uptake_significance,week3_1,week3_2,week3_3,week3_4,week3,week6_1,week6_2,week6_3,week6_4,week6,week9_1,week9_2,week9_3,week9_4,week9,week12_1,week12_2,week12_3,week12_4,week12,week3_rnorm,week6_rnorm,week9_rnorm,week12_rnorm,rsum
taurine,C2H7NO3S,15891,125.148,Organic acids,no,4.59E+06,6.94E+06,5.23E+06,6.93E+06,6.08E+06,1.06E+07,1.52E+07,6.29E+06,1.90E+07,1.29E+07,7.78E+06,8.60E+06,9.76E+06,1.52E+07,9.18E+06,3.02E+06,8.96E+06,9.12E+06,6.21E+06,7.59E+06,1.70E-01,3.61E-01,2.57E-01,2.12E-01,1
thiamine,C12H17N4OS,18385,265.35574,Organic acids,no,1.23E+07,3.34E+06,3.78E+06,2.22E+06,3.56E+06,2.15E+07,2.69E+07,1.85E+07,3.01E+07,2.42E+07,1.26E+07,2.99E+07,2.77E+07,4.61E+07,2.88E+07,2.24E+06,945000,1.21E+06,1.33E+06,1.27E+06,6.16E-02,4.18E-01,4.98E-01,2.20E-02,1
threonic acid,C4H8O5,26984,136.103,Organic acids,yes,4.42E+07,3.32E+07,2.80E+07,1.03E+07,3.06E+07,1.15E+07,7.19E+06,1.88E+07,6.82E+06,9.35E+06,1.37E+07,2.54E+07,4.69E+06,1.10E+08,1.96E+07,101000,949000,1.18E+06,229000,5.89E+05,5.09E-01,1.56E-01,3.25E-01,9.80E-03,1
threonine ,C4H9NO3,26986,119.119,Amino acids,no,4.16E+08,4.65E+08,3.30E+08,5.64E+08,4.41E+08,8.46E+08,6.64E+08,6.28E+08,6.60E+08,6.62E+08,3.64E+08,6.53E+08,5.09E+08,1.14E+09,5.81E+08,2.71E+06,3.53E+06,2.91E+08,8.17E+06,5.85E+06,2.61E-01,3.92E-01,3.44E-01,3.46E-03,1
thymidine,C10H14N2O5,17748,242.2286,Nucleotides,yes,1.09E+08,3.48E+08,8.27E+07,1.22E+08,1.16E+08,2.43E+08,3.62E+08,2.18E+08,3.28E+08,2.86E+08,2.09E+08,2.55E+08,3.81E+08,5.18E+08,3.18E+08,4.26E+06,4.42E+06,4.62E+07,2.09E+06,4.34E+06,1.60E-01,3.95E-01,4.40E-01,6.00E-03,1
trans-cinnamic acid,C9H8O2,35697,148.15862,Organic acids,yes,1.51E+08,1.04E+08,3.89E+07,7.98E+07,9.19E+07,2.24E+09,2.18E+09,1.42E+09,2.08E+09,2.13E+09,8.47E+08,1.04E+09,1.14E+09,2.09E+09,1.09E+09,3.95E+07,2.74E+07,3.23E+08,2.12E+08,1.26E+08,2.67E-02,6.20E-01,3.17E-01,3.66E-02,1
trans-ferulic acid,C10H10O4,17620,194.184,Organic acids,no,8.36E+06,6.81E+06,1.93E+07,6.31E+06,7.59E+06,5.42E+08,1.89E+08,4.28E+08,3.29E+08,3.79E+08,3.69E+07,1.23E+08,1.21E+08,4.36E+08,1.22E+08,3.41E+07,2.89E+07,7.70E+06,2.10E+07,2.50E+07,1.42E-02,7.10E-01,2.29E-01,4.68E-02,1
trigonelline,C7H7NO2,18123,137.13602,Organic acids,no,6.60E+08,4.78E+08,5.61E+08,7.22E+08,6.11E+08,1.05E+09,1.18E+09,6.86E+08,1.26E+09,1.12E+09,1.68E+09,2.07E+09,1.49E+09,3.93E+09,1.88E+09,9.77E+08,2.86E+09,1.11E+09,1.30E+09,1.21E+09,1.27E-01,2.32E-01,3.90E-01,2.51E-01,1
tryptophan,C11H12N2O2,27897,204.22526,Amino acids,no,4.59E+07,3.31E+07,2.95E+07,2.26E+07,3.13E+07,1.98E+08,2.28E+08,1.78E+08,2.95E+08,2.13E+08,2.72E+08,2.52E+08,2.29E+08,4.75E+08,2.62E+08,770000,749000,1.03E+08,2.15E+07,1.11E+07,6.05E-02,4.12E-01,5.06E-01,2.15E-02,1
uracil,C4H4N2O2,17568,112.08684,Nucleotides,no,5.29E+08,4.99E+08,3.87E+08,5.12E+08,5.06E+08,1.25E+09,1.10E+09,1.22E+09,1.06E+09,1.16E+09,7.79E+08,8.31E+08,1.11E+09,1.85E+09,9.71E+08,5.28E+06,3.25E+06,4.94E+08,5.97E+07,3.25E+07,1.89E-01,4.35E-01,3.64E-01,1.22E-02,1
uridine,C9H12N2O6,16704,244.20146,Nucleotides,no,8.25E+08,8.61E+08,8.92E+08,7.91E+08,8.43E+08,2.23E+09,1.84E+09,1.73E+09,1.88E+09,1.86E+09,1.01E+09,1.36E+09,2.23E+09,3.35E+09,1.80E+09,1.80E+07,8.19E+06,1.82E+08,9.87E+06,1.39E+07,1.87E-01,4.12E-01,3.98E-01,3.09E-03,1
valine ,C5H11NO2,27266,117.14638,Amino acids,no,3.57E+08,2.71E+08,3.10E+08,3.12E+08,3.11E+08,1.04E+09,1.04E+09,7.91E+08,1.20E+09,1.04E+09,5.81E+08,6.55E+08,6.88E+08,1.67E+09,6.72E+08,2.42E+07,4.07E+07,1.98E+08,4.44E+07,4.26E+07,1.51E-01,5.04E-01,3.25E-01,2.06E-02,1
vanillic acid,C8H8O4,30816,168.14672,Organic acids,no,5.72E+06,4.34E+06,4.07E+06,2.91E+06,4.21E+06,3.69E+07,1.76E+07,2.61E+07,2.39E+07,2.50E+07,2.08E+07,3.12E+07,2.25E+07,5.04E+07,2.69E+07,5.24E+06,2.78E+06,8.05E+06,2.12E+07,6.65E+06,6.71E-02,3.99E-01,4.28E-01,1.06E-01,1
vanillin,C8H8O3,18346,152.1473,Organic acids,yes,1.12E+07,1.03E+07,9.49E+06,1.01E+07,1.02E+07,1.56E+08,1.18E+08,1.70E+08,3.84E+07,1.37E+08,1.96E+07,2.24E+07,1.38E+07,3.14E+07,2.10E+07,5.83E+07,2.99E+07,2.23E+07,3.72E+07,3.36E+07,5.06E-02,6.79E-01,1.04E-01,1.66E-01,1
xanthine,C5H4N4O2,15318,152.111,Nucleotides,no,6.58E+07,6.35E+07,4.67E+07,5.27E+07,5.81E+07,4.12E+08,3.62E+08,2.90E+08,3.73E+08,3.68E+08,1.67E+08,2.02E+08,3.31E+08,4.14E+08,2.67E+08,2.82E+06,2.22E+06,6.70E+07,6.21E+06,4.52E+06,8.34E-02,5.28E-01,3.83E-01,6.48E-03,1
linoleic acid,C18H32O2,17351,280.4455,Fatty acids,no,9.39E+06,1.11E+07,9.53E+06,9.51E+06,9.52E+06,3.81E+07,4.28E+07,2.38E+07,5.89E+07,4.05E+07,1.84E+07,1.08E+07,3.16E+07,2.99E+07,2.42E+07,1.10E+07,1.71E+07,3.46E+07,1.34E+07,1.53E+07,1.07E-01,4.53E-01,2.70E-01,1.71E-01,1
