kE,yEV,kM,yvmax,VP,VR,response
0.9907577927636582,1.2687762783132508,0.00017252429789936744,0.788269179566316,8.262115880102117e-19,8.257549884082165e-20,positive
2.2477286136540786,2.2709811740999424,3.108851055537269e-5,0.44034098641587194,4.010541655942806e-19,9.440898374414063e-20,negative
1.69596609104671,1.643835616438356,2.229109939335906e-5,0.6083381973585241,3.5353727241572004e-19,5.197550375978029e-20,undefined
1.088478186013862,1.2687762783132508,0.0002382256849174935,0.7882969599267868,9.536214406659393e-19,9.971590736951599e-20,positive
1.1326637389803507,1.2687762783132508,0.00030064144814140385,0.7883258820023941,1.057792382781527e-18,1.1297185947359537e-19,positive
1.1875567207318467,1.2687762783132508,0.00019684578631881197,0.7882639766619453,8.744865387311174e-19,9.594284568159741e-20,positive
1.8018828768112505,1.7623578889729934,0.00032561963671362304,0.5674798179191661,1.0833493029168268e-18,1.7149882047975348e-19,positive
1.6624263683109595,1.2687762783132508,5.0250761921531965e-5,0.7881797924794082,4.70810532348564e-19,6.769104428779115e-20,positive
1.773422708309495,1.643835616438356,4.816146681712793e-6,0.6083343383431633,1.774624072272101e-19,2.7524473690249754e-20,undefined
1.496936862172548,1.4398745025029083,7.369659261331653e-6,0.6945073458935245,2.1622678540189219e-19,2.80455043002637e-20,undefined
1.071066953253495,1.4398745025029083,1.734942092919523e-5,0.6945127842534049,2.950418548224638e-19,3.059904562804615e-20,positive
1.088478186013862,1.2687762783132508,8.458116081957178e-5,0.7882092847790734,5.99776364857465e-19,6.27159183824422e-20,positive
1.5523212035205483,1.643835616438356,2.984822911249695e-5,0.6083404490339618,3.736559556198654e-19,5.010390170140014e-20,undefined
1.7132422293119067,1.7043361957598753,2.4288216628052815e-5,0.5867435782356081,3.6722503872248167e-19,5.462231112469185e-20,negative
1.4902886097811696,1.58023989156911,1.0840474151664562e-5,0.6328182249239211,2.5712771677068247e-19,3.3220141005958347e-20,negative
1.8650105792362643,1.7043361957598753,1.99420898978254e-5,0.5867423788321634,3.3465853729371715e-19,5.552621259661772e-20,negative
1.8615802572154188,1.5126815303642844,8.873488686790525e-6,0.6610797653327506,2.32813986497178e-19,3.8527448257995705e-20,undefined
1.1960382094412707,1.4398745025029083,7.70864740075628e-7,0.694505282148263,7.288783785413742e-20,8.030632096838548e-21,undefined
1.430956861094157,1.2687762783132508,1.3111953544856998e-5,0.7881667075897156,2.803504960121898e-19,3.500003856961478e-20,undefined
1.281439026953949,1.3597733711048157,0.00011346664799209988,0.7354645542670207,6.824614511843729e-19,7.854305361447346e-20,positive
1.2327180846114631,1.3597733711048157,8.514943086914346e-5,0.7354540238297088,6.00517764649972e-19,6.739843730755148e-20,positive
1.2163061986697106,1.2687762783132508,0.00027530362181259286,0.7883016073916734,1.0158379294776354e-18,1.1306729558348628e-19,positive
2.0210997116637746,1.5126815303642844,3.577890994833354e-6,0.6610784558492582,1.539733572811882e-19,2.901428764629e-20,undefined
1.3761459723751228,1.7623578889729934,0.0003049911045602941,0.5674929901056337,1.1484414168380058e-18,1.3905175460252925e-19,negative
1.339486861729633,1.643835616438356,0.00034113231456730863,0.6084275730545899,1.2082426699448141e-18,1.4340182639884144e-19,positive
1.4412048173616492,1.58023989156911,0.00014293826436346166,0.6328550277715314,8.171493247787405e-19,1.0261300549985728e-19,positive
1.066517473477028,1.8726789939300528,1.0321931588877029e-5,0.5339971085878303,2.53276493454085e-19,2.621155142516515e-20,undefined
1.262130742915783,1.4398745025029083,8.512700652175961e-6,0.6945082244893614,2.3164798546996193e-19,2.639384154725206e-20,undefined
2.190244495183127,2.411300309566033,0.0003233786309141458,0.4147393937634112,1.1476300627844085e-18,2.5397954591938943e-19,negative
2.431609474667157,1.643835616438356,0.0001102838925295995,0.6083501173343248,6.474554413802565e-19,1.9225174313830324e-19,positive
0.985893884622813,1.2687762783132508,0.0007794739072065961,0.7886519980847534,1.6231986356537877e-18,1.6187427648195422e-19,positive
0.9450631932276768,1.7043361957598753,0.00016623350676398332,0.5867992492148799,8.129649969817664e-19,7.960762016232824e-20,undefined
1.08612411058435,1.2687762783132508,0.0001384237065949621,0.7882401816074562,8.101996543817695e-19,8.462464304395554e-20,negative
1.274937838029642,1.2687762783132508,0.0001291165390696336,0.788223923469013,7.831264758396375e-19,8.982350873564879e-20,negative
1.0642571720425118,1.2687762783132508,3.828696190667059e-7,0.7881612390110352,5.32911911142789e-20,5.5092661483182015e-21,positive
1.012740988330837,1.2687762783132508,2.5998806814652656e-7,0.7881611750055162,4.4794714601316237e-20,4.521933317171002e-21,positive
2.5534151777259506,1.9255982749704434,1.3127799488168175e-7,0.5193191330185172,3.333975916541028e-20,1.2067164148178325e-20,undefined
1.3991161579189044,1.9773319509261735,0.0005691729390769103,0.5058360153712875,1.5174802506777974e-18,1.8608585894352047e-19,positive
0.8758086875903657,1.8726789939300528,0.00016329883418332068,0.5340475138324551,8.070538810035725e-19,7.667852340316123e-20,positive
