monomer,ontology,isolate,response,percent_uptake
deoxyguanosine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.990097085
deoxyguanosine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.992172505
deoxyguanosine,Nucleotides,Lysobacter sp. URHA0019,undefined,0
deoxyguanosine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.783302586
deoxyguanosine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.995638621
deoxyguanosine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.927171664
deoxyguanosine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.738556278
deoxyguanosine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.999951567
deoxyguanosine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.729204095
deoxyguanosine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.880732084
deoxyguanosine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.895211393
deoxyguanosine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.811121972
deoxyguanosine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.944412479
deoxyguanosine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.999200758
deoxyguanosine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.998136769
deoxyguanosine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.501937834
deoxyguanosine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.628651229
deoxyguanosine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.888474048
deoxyguanosine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.348115667
deoxyguanosine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.940255245
deoxyguanosine,Nucleotides,Sphingomonas sp. URHD0057,positive,0
deoxyguanosine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.999991372
deoxyguanosine,Nucleotides,Streptomyces sp. URHA0041,positive,0.936519814
deoxyguanosine,Nucleotides,Variovorax sp. URHB0020,positive,0.962933815
maltose,Sugars,Acidobacteriaceae bacterium URHE0068,positive,0.996970843
maltose,Sugars,Bacillus sp. URHB0009,negative,0.999851178
maltose,Sugars,Blastococcus sp. URHD0036,undefined,0.995962228
maltose,Sugars,Bradyrhizobium sp. URHA0002,positive,0.998694855
maltose,Sugars,Bradyrhizobium sp. URHA0013,positive,0.999967653
maltose,Sugars,Bradyrhizobium sp. URHD0069,positive,0.999987803
maltose,Sugars,Burkholderia sp. URHA0054,positive,0.999998879
maltose,Sugars,Caulobacter sp. URHA0033,positive,0.997287684
maltose,Sugars,Cellulomonas sp. URHD0024,undefined,0.999999839
maltose,Sugars,Cellulomonas sp. URHE0023,undefined,1
maltose,Sugars,Comamonadaceae bacterium URHA0028,positive,0.999991371
maltose,Sugars,Dongia sp. URHE0060,positive,1
maltose,Sugars,Flavobacterium sp. URHB0058,undefined,0.999999981
maltose,Sugars,Geodermatophilaceae bacterium URHA0031,negative,0.999657508
maltose,Sugars,Geodermatophilaceae bacterium URHB0048,negative,0.999965175
maltose,Sugars,Geodermatophilaceae bacterium URHB0062,negative,0.999990291
maltose,Sugars,Intrasporangiaceae bacterium URHB0013,undefined,0.999999915
maltose,Sugars,Lysobacter sp. URHA0019,undefined,0.999810372
maltose,Sugars,Marmoricola sp. URHB0036,undefined,0.999975721
maltose,Sugars,Mesorhizobium sp. URHA0056,positive,0.999999982
maltose,Sugars,Mesorhizobium sp. URHB0007,positive,0.999999984
maltose,Sugars,Mesorhizobium sp. URHC0008,positive,0.999999512
maltose,Sugars,Microbacterium sp. URHA0036,undefined,1
maltose,Sugars,Micromonosporaceae bacterium URHE0070,negative,0.999991899
maltose,Sugars,Mycobacterium sp. URHB0044,positive,0.99376594
maltose,Sugars,Mycobacterium sp. URHD0025,positive,0.984373073
maltose,Sugars,Nocardioides sp. URHA0020,undefined,0.999949702
maltose,Sugars,Nocardioides sp. URHA0032,undefined,0.999983687
maltose,Sugars,Paenibacillus sp. URHA0014,negative,1
maltose,Sugars,Pseudomonas sp. URHB0015,positive,0.999337218
maltose,Sugars,Rhodospirillales bacterium URHD0017,positive,0.999996012
maltose,Sugars,Rhodospirillales bacterium URHD0088,undefined,0.999999974
maltose,Sugars,Solirubrobacter sp. URHD0082,negative,0.999999929
maltose,Sugars,Solirubrobacterales bacterium URHD0059,negative,0.999999505
maltose,Sugars,Sphingomonas sp. URHD0007,positive,0.999999892
maltose,Sugars,Sphingomonas sp. URHD0057,positive,0.999975355
maltose,Sugars,Staphylococcus sp. URHA0057,undefined,0.999999814
maltose,Sugars,Streptomyces sp. URHA0041,positive,0.999961852
maltose,Sugars,Variovorax sp. URHB0020,positive,0.999996049
sucrose,Sugars,Acidobacteriaceae bacterium URHE0068,positive,0.996970843
sucrose,Sugars,Bacillus sp. URHB0009,negative,0.999851178
sucrose,Sugars,Blastococcus sp. URHD0036,undefined,0.995962228
sucrose,Sugars,Bradyrhizobium sp. URHA0002,positive,0.998694855
sucrose,Sugars,Bradyrhizobium sp. URHA0013,positive,0.999967653
sucrose,Sugars,Bradyrhizobium sp. URHD0069,positive,0.999987803
sucrose,Sugars,Burkholderia sp. URHA0054,positive,0.999998879
sucrose,Sugars,Caulobacter sp. URHA0033,positive,0.997287684
sucrose,Sugars,Cellulomonas sp. URHD0024,undefined,0.999999839
sucrose,Sugars,Cellulomonas sp. URHE0023,undefined,1
sucrose,Sugars,Comamonadaceae bacterium URHA0028,positive,0.999991371
sucrose,Sugars,Dongia sp. URHE0060,positive,1
sucrose,Sugars,Flavobacterium sp. URHB0058,undefined,0.999999981
sucrose,Sugars,Geodermatophilaceae bacterium URHA0031,negative,0.999657508
sucrose,Sugars,Geodermatophilaceae bacterium URHB0048,negative,0.999965175
sucrose,Sugars,Geodermatophilaceae bacterium URHB0062,negative,0.999990291
sucrose,Sugars,Intrasporangiaceae bacterium URHB0013,undefined,0.999999915
sucrose,Sugars,Lysobacter sp. URHA0019,undefined,0.999810372
sucrose,Sugars,Marmoricola sp. URHB0036,undefined,0.999975721
sucrose,Sugars,Mesorhizobium sp. URHA0056,positive,0.999999982
sucrose,Sugars,Mesorhizobium sp. URHB0007,positive,0.999999984
sucrose,Sugars,Mesorhizobium sp. URHC0008,positive,0.999999512
sucrose,Sugars,Microbacterium sp. URHA0036,undefined,1
sucrose,Sugars,Micromonosporaceae bacterium URHE0070,negative,0.999991899
sucrose,Sugars,Mycobacterium sp. URHB0044,positive,0.99376594
sucrose,Sugars,Mycobacterium sp. URHD0025,positive,0.984373073
sucrose,Sugars,Nocardioides sp. URHA0020,undefined,0.999949702
sucrose,Sugars,Nocardioides sp. URHA0032,undefined,0.999983687
sucrose,Sugars,Paenibacillus sp. URHA0014,negative,1
sucrose,Sugars,Pseudomonas sp. URHB0015,positive,0.999337218
sucrose,Sugars,Rhodospirillales bacterium URHD0017,positive,0.999996012
sucrose,Sugars,Rhodospirillales bacterium URHD0088,undefined,0.999999974
sucrose,Sugars,Solirubrobacter sp. URHD0082,negative,0.999999929
sucrose,Sugars,Solirubrobacterales bacterium URHD0059,negative,0.999999505
sucrose,Sugars,Sphingomonas sp. URHD0007,positive,0.999999892
sucrose,Sugars,Sphingomonas sp. URHD0057,positive,0.999975355
sucrose,Sugars,Staphylococcus sp. URHA0057,undefined,0.999999814
sucrose,Sugars,Streptomyces sp. URHA0041,positive,0.999961852
sucrose,Sugars,Variovorax sp. URHB0020,positive,0.999996049
fumaric acid ,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.605801768
fumaric acid ,Organic acids,Bacillus sp. URHB0009,negative,0.989066373
fumaric acid ,Organic acids,Blastococcus sp. URHD0036,undefined,0.751724681
fumaric acid ,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999901056
fumaric acid ,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999953421
fumaric acid ,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999998113
fumaric acid ,Organic acids,Burkholderia sp. URHA0054,positive,0.999127126
fumaric acid ,Organic acids,Caulobacter sp. URHA0033,positive,0.974194308
fumaric acid ,Organic acids,Cellulomonas sp. URHD0024,undefined,0.801080906
fumaric acid ,Organic acids,Cellulomonas sp. URHE0023,undefined,0.991991628
fumaric acid ,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999918
fumaric acid ,Organic acids,Dongia sp. URHE0060,positive,0.997886585
fumaric acid ,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999177
fumaric acid ,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.971609385
fumaric acid ,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.959280121
fumaric acid ,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.993089831
fumaric acid ,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999916323
fumaric acid ,Organic acids,Lysobacter sp. URHA0019,undefined,0.999993873
fumaric acid ,Organic acids,Marmoricola sp. URHB0036,undefined,0.907805597
fumaric acid ,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999996324
fumaric acid ,Organic acids,Mesorhizobium sp. URHB0007,positive,0.999693276
fumaric acid ,Organic acids,Mesorhizobium sp. URHC0008,positive,0.840261803
fumaric acid ,Organic acids,Microbacterium sp. URHA0036,undefined,0.999987148
fumaric acid ,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.862923524
fumaric acid ,Organic acids,Mycobacterium sp. URHB0044,positive,0.916215953
fumaric acid ,Organic acids,Mycobacterium sp. URHD0025,positive,0.895698921
fumaric acid ,Organic acids,Nocardioides sp. URHA0020,undefined,0.985412454
fumaric acid ,Organic acids,Nocardioides sp. URHA0032,undefined,0.667873238
fumaric acid ,Organic acids,Paenibacillus sp. URHA0014,negative,0.999989868
fumaric acid ,Organic acids,Pseudomonas sp. URHB0015,positive,0.985344088
fumaric acid ,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999949
fumaric acid ,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.99999815
fumaric acid ,Organic acids,Solirubrobacter sp. URHD0082,negative,0.971759169
fumaric acid ,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.75609593
fumaric acid ,Organic acids,Sphingomonas sp. URHD0007,positive,0.999728541
fumaric acid ,Organic acids,Sphingomonas sp. URHD0057,positive,0.999998429
fumaric acid ,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999978386
fumaric acid ,Organic acids,Streptomyces sp. URHA0041,positive,0.963145798
fumaric acid ,Organic acids,Variovorax sp. URHB0020,positive,0.999999345
aminobutyric acid,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.999189863
aminobutyric acid,Amino acids,Bacillus sp. URHB0009,negative,0.995375278
aminobutyric acid,Amino acids,Blastococcus sp. URHD0036,undefined,0.994541239
aminobutyric acid,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999988508
aminobutyric acid,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999993581
aminobutyric acid,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999955
aminobutyric acid,Amino acids,Burkholderia sp. URHA0054,positive,0.999825807
aminobutyric acid,Amino acids,Caulobacter sp. URHA0033,positive,0.987047572
aminobutyric acid,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999983205
aminobutyric acid,Amino acids,Cellulomonas sp. URHE0023,undefined,1
aminobutyric acid,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999937
aminobutyric acid,Amino acids,Dongia sp. URHE0060,positive,0.999999999
aminobutyric acid,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999693
aminobutyric acid,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.997294608
aminobutyric acid,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999935722
aminobutyric acid,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999665492
aminobutyric acid,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999424
aminobutyric acid,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999997
aminobutyric acid,Amino acids,Marmoricola sp. URHB0036,undefined,0.99981351
aminobutyric acid,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999962
aminobutyric acid,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999933
aminobutyric acid,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999953364
aminobutyric acid,Amino acids,Microbacterium sp. URHA0036,undefined,0.999999999
aminobutyric acid,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999546681
aminobutyric acid,Amino acids,Mycobacterium sp. URHB0044,positive,0.9804195
aminobutyric acid,Amino acids,Mycobacterium sp. URHD0025,positive,0.981372787
aminobutyric acid,Amino acids,Nocardioides sp. URHA0020,undefined,0.999843908
aminobutyric acid,Amino acids,Nocardioides sp. URHA0032,undefined,0.999995616
aminobutyric acid,Amino acids,Paenibacillus sp. URHA0014,negative,0.999999345
aminobutyric acid,Amino acids,Pseudomonas sp. URHB0015,positive,0.99112735
aminobutyric acid,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999999994
aminobutyric acid,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
aminobutyric acid,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999477
aminobutyric acid,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999956845
aminobutyric acid,Amino acids,Sphingomonas sp. URHD0007,positive,0.999998635
aminobutyric acid,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999975
aminobutyric acid,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999997155
aminobutyric acid,Amino acids,Streptomyces sp. URHA0041,positive,0.998456049
aminobutyric acid,Amino acids,Variovorax sp. URHB0020,positive,0.999999591
glycine ,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.988352926
glycine ,Amino acids,Bacillus sp. URHB0009,negative,0.955169094
glycine ,Amino acids,Blastococcus sp. URHD0036,undefined,0.957984341
glycine ,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999324834
glycine ,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999747076
glycine ,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999976367
glycine ,Amino acids,Burkholderia sp. URHA0054,positive,0.994037095
glycine ,Amino acids,Caulobacter sp. URHA0033,positive,0.940527446
glycine ,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999203108
glycine ,Amino acids,Cellulomonas sp. URHE0023,undefined,0.999999998
glycine ,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999819
glycine ,Amino acids,Dongia sp. URHE0060,positive,0.999999137
glycine ,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999979865
glycine ,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.973268187
glycine ,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.998115355
glycine ,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.992499045
glycine ,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999954665
glycine ,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999521
glycine ,Amino acids,Marmoricola sp. URHB0036,undefined,0.997708255
glycine ,Amino acids,Mesorhizobium sp. URHA0056,positive,0.99999974
glycine ,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999217
glycine ,Amino acids,Mesorhizobium sp. URHC0008,positive,0.998118502
glycine ,Amino acids,Microbacterium sp. URHA0036,undefined,0.999999672
glycine ,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.99071624
glycine ,Amino acids,Mycobacterium sp. URHB0044,positive,0.91418214
glycine ,Amino acids,Mycobacterium sp. URHD0025,positive,0.9159052
glycine ,Amino acids,Nocardioides sp. URHA0020,undefined,0.99831243
glycine ,Amino acids,Nocardioides sp. URHA0032,undefined,0.999768862
glycine ,Amino acids,Paenibacillus sp. URHA0014,negative,0.999827802
glycine ,Amino acids,Pseudomonas sp. URHB0015,positive,0.93250501
glycine ,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999993575
glycine ,Amino acids,Rhodospirillales bacterium URHD0088,undefined,0.999999819
glycine ,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999986187
glycine ,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.99864578
glycine ,Amino acids,Sphingomonas sp. URHD0007,positive,0.999999453
glycine ,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999966
glycine ,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999751036
glycine ,Amino acids,Streptomyces sp. URHA0041,positive,0.979006989
glycine ,Amino acids,Variovorax sp. URHB0020,positive,0.999990667
glycine betaine,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.999709934
glycine betaine,Amino acids,Bacillus sp. URHB0009,negative,0.998227731
glycine betaine,Amino acids,Blastococcus sp. URHD0036,undefined,0.997573881
glycine betaine,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999997072
glycine betaine,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999997743
glycine betaine,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999995
glycine betaine,Amino acids,Burkholderia sp. URHA0054,positive,0.99995716
glycine betaine,Amino acids,Caulobacter sp. URHA0033,positive,0.992625241
glycine betaine,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999995683
glycine betaine,Amino acids,Cellulomonas sp. URHE0023,undefined,1
glycine betaine,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999954
glycine betaine,Amino acids,Dongia sp. URHE0060,positive,1
glycine betaine,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999898
glycine betaine,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.998902117
glycine betaine,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999979918
glycine betaine,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999897467
glycine betaine,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999809
glycine betaine,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999999
glycine betaine,Amino acids,Marmoricola sp. URHB0036,undefined,0.999916468
glycine betaine,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999974
glycine betaine,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999961
glycine betaine,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999988583
glycine betaine,Amino acids,Microbacterium sp. URHA0036,undefined,1
glycine betaine,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999863236
glycine betaine,Amino acids,Mycobacterium sp. URHB0044,positive,0.988929198
glycine betaine,Amino acids,Mycobacterium sp. URHD0025,positive,0.98962896
glycine betaine,Amino acids,Nocardioides sp. URHA0020,undefined,0.999926119
glycine betaine,Amino acids,Nocardioides sp. URHA0032,undefined,0.999998896
glycine betaine,Amino acids,Paenibacillus sp. URHA0014,negative,0.999999906
glycine betaine,Amino acids,Pseudomonas sp. URHB0015,positive,0.996300487
glycine betaine,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999999999
glycine betaine,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
glycine betaine,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999787
glycine betaine,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999987684
glycine betaine,Amino acids,Sphingomonas sp. URHD0007,positive,0.999998508
glycine betaine,Amino acids,Sphingomonas sp. URHD0057,positive,0.99999998
glycine betaine,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999999267
glycine betaine,Amino acids,Streptomyces sp. URHA0041,positive,0.999463836
glycine betaine,Amino acids,Variovorax sp. URHB0020,positive,0.999999812
guanine,Nucleotides,Acidobacteriaceae bacterium URHE0068,positive,0.868586219
guanine,Nucleotides,Bacillus sp. URHB0009,negative,0.994013699
guanine,Nucleotides,Blastococcus sp. URHD0036,undefined,0.950140504
guanine,Nucleotides,Bradyrhizobium sp. URHA0002,positive,0.918680131
guanine,Nucleotides,Bradyrhizobium sp. URHA0013,positive,0.968910896
guanine,Nucleotides,Bradyrhizobium sp. URHD0069,positive,0.697428015
guanine,Nucleotides,Burkholderia sp. URHA0054,positive,0.998436207
guanine,Nucleotides,Caulobacter sp. URHA0033,positive,0.97226405
guanine,Nucleotides,Cellulomonas sp. URHD0024,undefined,0.996253821
guanine,Nucleotides,Cellulomonas sp. URHE0023,undefined,0.999999833
guanine,Nucleotides,Comamonadaceae bacterium URHA0028,positive,0.999121519
guanine,Nucleotides,Dongia sp. URHE0060,positive,0.665598959
guanine,Nucleotides,Flavobacterium sp. URHB0058,undefined,0.999972633
guanine,Nucleotides,Geodermatophilaceae bacterium URHA0031,negative,0.965759505
guanine,Nucleotides,Geodermatophilaceae bacterium URHB0048,negative,0.997250784
guanine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.997098183
guanine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.99960903
guanine,Nucleotides,Lysobacter sp. URHA0019,undefined,0
guanine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.945609342
guanine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.999945795
guanine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.994971249
guanine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.926193517
guanine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.999999414
guanine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.911017277
guanine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.939606136
guanine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.945597516
guanine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.957392394
guanine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.994210882
guanine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.999927776
guanine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.991363068
guanine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.782477284
guanine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.884559188
guanine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.987448368
guanine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.606281393
guanine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.9968897
guanine,Nucleotides,Sphingomonas sp. URHD0057,positive,0
guanine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.999991053
guanine,Nucleotides,Streptomyces sp. URHA0041,positive,0.980103862
guanine,Nucleotides,Variovorax sp. URHB0020,positive,0.9979164
guanosine,Nucleotides,Acidobacteriaceae bacterium URHE0068,positive,0.650679093
guanosine,Nucleotides,Bacillus sp. URHB0009,negative,0.997107952
guanosine,Nucleotides,Blastococcus sp. URHD0036,undefined,0.864303406
guanosine,Nucleotides,Bradyrhizobium sp. URHA0002,positive,0.709995833
guanosine,Nucleotides,Bradyrhizobium sp. URHA0013,positive,0.828227223
guanosine,Nucleotides,Bradyrhizobium sp. URHD0069,positive,0.415644468
guanosine,Nucleotides,Burkholderia sp. URHA0054,positive,0.995122684
guanosine,Nucleotides,Caulobacter sp. URHA0033,positive,0.94434516
guanosine,Nucleotides,Cellulomonas sp. URHD0024,undefined,0.966020726
guanosine,Nucleotides,Cellulomonas sp. URHE0023,undefined,0.999951305
guanosine,Nucleotides,Comamonadaceae bacterium URHA0028,positive,0.967103514
guanosine,Nucleotides,Dongia sp. URHE0060,positive,0.384723514
guanosine,Nucleotides,Flavobacterium sp. URHB0058,undefined,0.999304098
guanosine,Nucleotides,Geodermatophilaceae bacterium URHA0031,negative,0.891977455
guanosine,Nucleotides,Geodermatophilaceae bacterium URHB0048,negative,0.979571905
guanosine,Nucleotides,Geodermatophilaceae bacterium URHB0062,negative,0.989435516
guanosine,Nucleotides,Intrasporangiaceae bacterium URHB0013,undefined,0.991698106
guanosine,Nucleotides,Lysobacter sp. URHA0019,undefined,0
guanosine,Nucleotides,Marmoricola sp. URHB0036,undefined,0.779500532
guanosine,Nucleotides,Mesorhizobium sp. URHA0056,positive,0.995366218
guanosine,Nucleotides,Mesorhizobium sp. URHB0007,positive,0.925034639
guanosine,Nucleotides,Mesorhizobium sp. URHC0008,positive,0.734584081
guanosine,Nucleotides,Microbacterium sp. URHA0036,undefined,0.99994508
guanosine,Nucleotides,Micromonosporaceae bacterium URHE0070,negative,0.725105944
guanosine,Nucleotides,Mycobacterium sp. URHB0044,positive,0.877200889
guanosine,Nucleotides,Mycobacterium sp. URHD0025,positive,0.891876513
guanosine,Nucleotides,Nocardioides sp. URHA0020,undefined,0.807504124
guanosine,Nucleotides,Nocardioides sp. URHA0032,undefined,0.942499783
guanosine,Nucleotides,Paenibacillus sp. URHA0014,negative,0.999119688
guanosine,Nucleotides,Pseudomonas sp. URHB0015,positive,0.997895921
guanosine,Nucleotides,Rhodospirillales bacterium URHD0017,positive,0.498225859
guanosine,Nucleotides,Rhodospirillales bacterium URHD0088,undefined,0.624704618
guanosine,Nucleotides,Solirubrobacter sp. URHD0082,negative,0.885720558
guanosine,Nucleotides,Solirubrobacterales bacterium URHD0059,negative,0.345131486
guanosine,Nucleotides,Sphingomonas sp. URHD0007,positive,0.938384306
guanosine,Nucleotides,Sphingomonas sp. URHD0057,positive,0
guanosine,Nucleotides,Staphylococcus sp. URHA0057,undefined,0.999990088
guanosine,Nucleotides,Streptomyces sp. URHA0041,positive,0.934169457
guanosine,Nucleotides,Variovorax sp. URHB0020,positive,0.961506849
fructose,Sugars,Acidobacteriaceae bacterium URHE0068,positive,0.996415532
fructose,Sugars,Bacillus sp. URHB0009,negative,0.997960097
fructose,Sugars,Blastococcus sp. URHD0036,undefined,0.991976791
fructose,Sugars,Bradyrhizobium sp. URHA0002,positive,0.999194535
fructose,Sugars,Bradyrhizobium sp. URHA0013,positive,0.999958635
fructose,Sugars,Bradyrhizobium sp. URHD0069,positive,0.999991206
fructose,Sugars,Burkholderia sp. URHA0054,positive,0.999959201
fructose,Sugars,Caulobacter sp. URHA0033,positive,0.992064471
fructose,Sugars,Cellulomonas sp. URHD0024,undefined,0.999996893
fructose,Sugars,Cellulomonas sp. URHE0023,undefined,1
fructose,Sugars,Comamonadaceae bacterium URHA0028,positive,0.999998233
fructose,Sugars,Dongia sp. URHE0060,positive,1
fructose,Sugars,Flavobacterium sp. URHB0058,undefined,0.999999878
fructose,Sugars,Geodermatophilaceae bacterium URHA0031,negative,0.998253678
fructose,Sugars,Geodermatophilaceae bacterium URHB0048,negative,0.999903996
fructose,Sugars,Geodermatophilaceae bacterium URHB0062,negative,0.999875167
fructose,Sugars,Intrasporangiaceae bacterium URHB0013,undefined,0.999999595
fructose,Sugars,Lysobacter sp. URHA0019,undefined,0.999960635
fructose,Sugars,Marmoricola sp. URHB0036,undefined,0.999921321
fructose,Sugars,Mesorhizobium sp. URHA0056,positive,0.999999972
fructose,Sugars,Mesorhizobium sp. URHB0007,positive,0.999999957
fructose,Sugars,Mesorhizobium sp. URHC0008,positive,0.999988291
fructose,Sugars,Microbacterium sp. URHA0036,undefined,1
fructose,Sugars,Micromonosporaceae bacterium URHE0070,negative,0.999849324
fructose,Sugars,Mycobacterium sp. URHB0044,positive,0.984372549
fructose,Sugars,Mycobacterium sp. URHD0025,positive,0.975212715
fructose,Sugars,Nocardioides sp. URHA0020,undefined,0.999899485
fructose,Sugars,Nocardioides sp. URHA0032,undefined,0.99997832
fructose,Sugars,Paenibacillus sp. URHA0014,negative,0.999999961
fructose,Sugars,Pseudomonas sp. URHB0015,positive,0.994683794
fructose,Sugars,Rhodospirillales bacterium URHD0017,positive,0.999997452
fructose,Sugars,Rhodospirillales bacterium URHD0088,undefined,0.999999978
fructose,Sugars,Solirubrobacter sp. URHD0082,negative,0.999999742
fructose,Sugars,Solirubrobacterales bacterium URHD0059,negative,0.999991337
fructose,Sugars,Sphingomonas sp. URHD0007,positive,0.999999925
