,monomer,mingt,rrn,genomesize,BGE,rgrowth_x,BP,BR,Formula,ChEBI_ID,Molecular_weight,Ontology,Xlogp3,rgrowth_y,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,latency
13,abscisic acid,4.04,7.0,5642219.0,0.5057933536731113,0.0178337247842576,1.6524691514936114e-09,9.056098448936459e-10,C15H20O4 ,2365,264.3169,Organic acids,1.61,0.0136612602653107,4.267734604706355e-05,9.955308267183356e-06,5.412324332158942e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.016832120169051e-06,1.4405943715493226e-07,2.1608915573239834e-06,6.400315894209659e-08,3.344156785048261e-07,6.400315894209659e-08,0.0141686577416959,170.70657584884736
14,adenine,2.84,8.0,5135306.5,0.28431285237961934,0.00989424232445325,7.697450165542167e-10,2.1924839016002846e-09,C5H5N5,16708,135.1269,Nucleotides,0.13,0.0095655235183567,3.3274162448533555e-05,7.641558358042401e-07,8.816635304771927e-09,2.8853897942744502e-09,7.940411581892309e-09,2.536790116217503e-07,1.8981576394075013e-07,4.434947755625005e-07,4.728720790599146e-09,1.7043572420070142e-07,4.728720790599146e-09,0.009978142135308,1.77403551656537
15,adenosine,2.84,8.0,5135306.5,0.45217705771251954,0.00989482923600535,7.698100509244389e-10,1.0820167543915992e-09,C10H13N5O4,16335,267.24152,Nucleotides,-1.05,0.0099208570815439,3.328239575239759e-05,7.509507635788976e-07,8.578431669950804e-09,2.8838206158298636e-09,7.285976399073052e-09,2.532979591598517e-07,4.2150671275434126e-08,2.9544863043528586e-07,4.728884981065902e-09,1.6425598549159533e-07,4.728884981065902e-09,0.0107557274569635,1.7705592609089649
16,alanine,4.36,6.0,6067264.0,0.4436458470809484,0.0616741691534988,8.174302901307981e-09,6.087051212708669e-09,C3H7NO2,15570,89.09322,Amino acids,-2.96,0.0616741691534988,0.0001701729379716,0.0002678826032287,2.644298875950801e-05,7.933464212591932e-07,1.591058702791786e-06,0.0009555484360545,0.0005297600137711,0.0014853084498257,1.943695572042368e-06,0.0009847270148619,1.943695572042368e-06,0.0741979530706334,128.74375875850393
17,alpha-ketoglutaric acid ,4.04,7.0,5642219.0,0.3839673314308631,0.017851541345152,1.651606671050559e-09,1.8040473307718003e-09,C5H6O5,30915,146.0981,Organic acids,-0.9,0.013661667905514,4.248860825747253e-05,9.955308267183356e-06,4.256827597088699e-08,1.6889916470070467e-08,2.6233274517343496e-08,1.999473384956328e-06,7.301831132775667e-07,2.7296564982338944e-06,5.623170937768572e-08,3.316620127052896e-07,5.623170937768572e-08,0.0141691282730929,166.76205956241648
18,aminobutyric acid,4.36,6.0,6067264.0,0.5180123936973556,0.0613746358935153,8.199852443095089e-09,5.282543304505031e-09,C4H9NO2,16865,103.1198,Amino acids,-3.17,0.0613746358935153,0.0001726058330846,0.0003757568970064,3.719521839092706e-05,1.098710062661763e-06,2.198296077783887e-06,0.00130892249354,0.0004363074978466,0.0017452299913867,2.6634267872478317e-06,0.0012293546604756,2.6634267872478317e-06,0.0752053548099277,130.6722893937102
19,arabinose,4.36,6.0,6067264.0,0.5188223202523652,0.0547360075067086,7.2207401490141195e-09,3.695182493230114e-09,C5H10O5,22599,150.1299,Sugars,-2.32,0.0547360075067086,0.000158736145354,0.0003834036482487,2.744589906887127e-05,1.153777943930135e-06,2.3640571933190976e-06,0.0012938349632551,0.0003522654989015,0.0016461004621566,2.677669545629618e-06,0.0012438714169116,2.677669545629618e-06,0.0618853453278828,141.58809944198703
20,arginine,4.36,6.0,6067264.0,0.5567581105443699,0.0598624999236222,8.213924451372177e-09,4.518685785268264e-09,C6H14N4O2,29016,174.20112,Amino acids,-4.2,0.0598624999236222,0.0001725157720401,0.0004373601266242,4.20792603865613e-05,1.2793619297863763e-06,2.5521939683694678e-06,0.0015116911658689,0.0003651263086861,0.0018768174745551,3.0699429004209087e-06,0.0014291017099439,3.0699429004209087e-06,0.0749362858365994,131.6097795670824
21,asparagine ,4.36,6.0,6067264.0,0.4436797205176589,0.0606413147409746,8.181509822368996e-09,5.616685381989651e-09,C4H8N2O3,22653,132.118,Amino acids,-3.41,0.0606413147409746,0.0001706820941779,0.0002687418231842,2.7979710532492127e-05,8.00684750655581e-07,1.5895411847383225e-06,0.0009598759383651,0.0005321591989899,0.001492035137355,1.94389334580481e-06,0.0010053899708896,1.94389334580481e-06,0.0725794548333575,128.6385515897918
22,betonicine,4.36,6.0,6067264.0,0.5929234416195504,0.0615384469277643,8.223006192419997e-09,4.213598341151758e-09,C7H13NO3,85533,159.183,Amino acids,-0.58,0.0615384469277643,0.0001741872313603,0.0004970317297603,4.95888323137832e-05,1.4805204582911508e-06,2.9035218155936827e-06,0.0017179455941063,0.0002863242656843,0.0020042698597906,3.497690407766032e-06,0.0015623504780436,3.497690407766032e-06,0.0798029186510223,132.29431524230816
