,monomer,mingt,rrn,genomesize,BGE,rgrowth_x,BP,BR,Formula,ChEBI_ID,Molecular_weight,Ontology,Xlogp3,rgrowth_y,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,latency
53,nicotinic acid,4.04,7.0,5642219.0,0.4249549562628861,0.0177866269548449,1.6523014048236363e-09,1.474990408356655e-09,C6H5NO2,15940,123.10944,Organic acids,0.36,0.0136618475447473,4.237240945519637e-05,9.955308267183356e-06,4.682805205925189e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.007495800612614e-06,4.848804755430015e-07,2.492376276155616e-06,5.919012246594397e-08,3.3288383453314825e-07,5.919012246594397e-08,0.0141691921934089,168.44553746418725
54,ornithine,4.36,6.0,6067264.0,0.5529367211861989,0.0609238705757055,8.211060422464782e-09,4.763425077227641e-09,C5H12N2O2,18257,132.16106,Amino acids,-4.41,0.0609238705757055,0.0001761614850581,0.0004313683419379,4.165765099103779e-05,1.2420171074916089e-06,2.5190900620186414e-06,0.0014921740593556,0.0003730435148389,0.0018652175741945,3.0241843965150896e-06,0.001380379387739,3.0241843965150896e-06,0.075949375194976,131.46114769944683
55,pantothenic acid ,4.04,7.0,5642219.0,0.4772164727675421,0.0178246174811345,1.6522044984121711e-09,1.0850269243046027e-09,C9H17NO5,7916,219.23502,Organic acids,-1.08,0.0136613952023084,4.277311826400129e-05,9.955308267183356e-06,5.4123137893417585e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.0138055089904604e-06,2.517256886238076e-07,2.265531197614268e-06,6.237386452743329e-08,3.339498356264486e-07,6.237386452743329e-08,0.0141687864523072,169.9731123694686
56,phenylalanine ,4.36,6.0,6067264.0,0.6151841540126874,0.0629083881332086,8.231273182700248e-09,3.9710301992017345e-09,C9H11NO2,28044,165.18918,Amino acids,-1.52,0.0629083881332086,0.0001774497394938,0.0005354436799459,5.277188480238852e-05,1.5978060237757305e-06,3.1366986302602186e-06,0.00185195272678,0.0002314940908475,0.0020834468176275,3.7673386490843033e-06,0.0016485180984284,3.7673386490843033e-06,0.0776310086531936,132.69547532743087
57,proline ,4.36,6.0,6067264.0,0.552948455306565,0.0599143418580684,8.213929331873508e-09,4.614941705537501e-09,C5H9NO2,26271,115.1305,Amino acids,-2.5,0.0599143418580684,0.0001740234890156,0.0004314213250437,4.176966581588528e-05,1.2548967453230908e-06,2.516391867897769e-06,0.0014935917028242,0.000373397925706,0.0018669896285303,3.0283843449856275e-06,0.0014127696056992,3.0283843449856275e-06,0.0752041250206921,131.5050556096478
58,rhamnose,4.36,6.0,6067264.0,0.5524001997547024,0.0554865434057362,7.2270845335068065e-09,3.2808760641225554e-09,C6H12O5,26546,164.157,Sugars,-2.38,0.0554865434057362,0.0001581471216336,0.0004382417780465,2.937831146880535e-05,1.303594509328248e-06,2.668142152605497e-06,0.001461059809103,0.0002922119618206,0.0017532717709236,3.000275525492286e-06,0.0013317043340563,3.000275525492286e-06,0.0622413995860922,142.4284691128583
59,salicylic acid,4.04,7.0,5642219.0,0.4526849494476941,0.0177925210685472,1.652445478017991e-09,1.2586710593767086e-09,C7H6O3,16914,138.1207,Organic acids,2.26,0.0136617752559143,4.274865329715158e-05,6.941011435882442e-06,4.249382357479497e-08,1.0760386220766592e-08,1.7318950640992618e-08,2.0111172370536983e-06,3.628828741395374e-07,2.3740001111932355e-06,4.257108591807632e-08,3.334654385202359e-07,4.257108591807632e-08,0.0141691070973147,169.0138808234908
60,serine ,4.36,6.0,6067264.0,0.3940415184019284,0.0603674068541686,8.156212099745285e-09,7.261212499942719e-09,C3H7NO3,17822,105.09262,Amino acids,-3.07,0.0603674068541686,0.0001732068758021,0.0002090602834948,2.1637091616411245e-05,6.26274179500227e-07,1.2538596294135176e-06,0.0007518672348742,0.0005625859729478,0.0013144532078221,1.5164828858726632e-06,0.0008220424558937,1.5164828858726632e-06,0.0723839637314431,127.30745606495802
61,shikimic acid,4.04,7.0,5642219.0,0.45267742562741,0.0178215736920248,1.652180448114831e-09,1.2618514591902324e-09,C7H10O5,16119,174.1513,Organic acids,-1.72,0.0136615750002325,4.285491840374278e-05,6.940006121759476e-06,4.249151301824573e-08,1.0757816678838088e-08,1.731745813145894e-08,2.010730642936543e-06,3.628131176968129e-07,2.3735437606333555e-06,4.2565725887216535e-08,3.334473067138485e-07,4.2565725887216535e-08,0.0141689625095014,169.25744223149172
62,sinapyl alcohol,4.04,7.0,5642219.0,0.4901359010744897,0.0178006376873396,1.6525216126729623e-09,1.0055779729673175e-09,C11H14O4,28813,210.2265,Organic acids,-1.72,0.0136614598688031,4.325401054038996e-05,9.955308267183356e-06,5.4123286441637314e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.0154513901319327e-06,2.0154513901319325e-07,2.2169965291451257e-06,6.313106886919524e-08,3.341818687749002e-07,6.313106886919524e-08,0.0141688253951896,170.14739891149938
63,stachyhydrine,4.04,7.0,5642219.0,0.4585411345378861,0.0178283548013117,1.6524167168920227e-09,1.2127661256330808e-09,C7H13NO2,86534,143.1836,Organic acids,-1.87,0.0136617419995845,4.3017740679729625e-05,9.955308267183356e-06,5.2169758122406484e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.011841310511771e-06,3.353068850852952e-07,2.3471481955970663e-06,6.11941800037207e-08,3.335901809327844e-07,6.11941800037207e-08,0.0141690762113677,169.37211702257758
64,succinic acid,4.04,7.0,5642219.0,0.3635505609889735,0.017846480687441,1.65136411206846e-09,2.042560601689597e-09,C4H6O4,15741,118.088,Organic acids,-0.59,0.0136617915463175,4.276527894159588e-05,9.955308267183356e-06,4.2172228783260864e-08,1.6889916470070467e-08,2.6233274517343496e-08,1.994884957281122e-06,8.78406133453004e-07,2.8732910907341257e-06,5.4649459216117796e-08,3.309417631951545e-07,5.4649459216117796e-08,0.0141692558636537,165.9202245853451
65,sucrose,4.36,6.0,6067264.0,0.6079874017332478,0.0576464162234871,7.235774840180772e-09,2.65276090472306e-09,C12H22O11,17992,342.29648,Sugars,-3.7,0.0576464162234871,0.0001608319516007,0.0005340315437889,3.200360642662657e-05,1.5656738019085987e-06,3.2029241548112145e-06,0.0017715586662398,0.0001734279755605,0.0019449866418003,3.6119166503841486e-06,0.0015042024919107,3.6119166503841486e-06,0.0630219686666267,143.67423053036464
66,syringic acid,4.04,7.0,5642219.0,0.4726305499934295,0.0178271386958544,1.6523669442125002e-09,1.1150683141641416e-09,C9H10O5,68329,198.1727,Organic acids,1.04,0.0136614915674426,4.307598327765073e-05,9.955308267183356e-06,5.412321002681308e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.0134383671701016e-06,2.7167453377957225e-07,2.2851129009496736e-06,6.209139586573713e-08,3.3387006494134893e-07,6.209139586573713e-08,0.014168864466297,169.8774365403791
67,taurine,4.04,7.0,5642219.0,0.2569244573695542,0.0178204874026094,1.6468887557203463e-09,3.7872395485497684e-09,C2H7NO3S,15891,125.148,Organic acids,-4.11,0.0136612663957806,4.2879334487772096e-05,9.375483580994958e-06,4.6672913297023994e-08,1.5906201023579562e-08,2.4705376057900177e-08,2.2032129251543003e-06,2.2032129251543003e-06,4.406425850308601e-06,5.986309654671428e-08,3.662603174915028e-07,5.986309654671428e-08,0.0141692236961188,161.42375880924618
68,thiamine,4.04,7.0,5642219.0,0.4950021094709287,0.0178278529554134,1.65227065933157e-09,9.820888077677455e-10,C12H17N4OS,18385,265.35574,Organic acids,1.02,0.0136612374726302,4.31602678350054e-05,9.955308267183356e-06,5.412314336596596e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.0156279825686987e-06,1.8323890750624533e-07,2.198866890074944e-06,6.339403359262834e-08,3.342443685278756e-07,6.339403359262834e-08,0.0141686441595205,170.17837808339098
69,threonic acid,4.04,7.0,5642219.0,0.3635443239690893,0.0178422861622594,1.6511318758599103e-09,2.060498125291153e-09,C4H8O5,26984,136.103,Organic acids,-2.13,0.0136616650448268,4.259799423099972e-05,9.955308267183356e-06,4.2170596234538325e-08,1.6889916470070467e-08,2.6233274517343496e-08,1.994585313742878e-06,8.782741916480983e-07,2.872859505390976e-06,5.463893228695606e-08,3.309289519709804e-07,5.463893228695606e-08,0.0141691651908826,165.9727048117407
70,threonine ,4.36,6.0,6067264.0,0.505793425875359,0.0612072486171448,8.19445064761082e-09,5.397603421952976e-09,C4H9NO3,26986,119.119,Amino acids,-2.94,0.0612072486171448,0.0001774164912602,0.0003572328459256,3.793417871856256e-05,1.0615722807891484e-06,2.0883906336541686e-06,0.0012472000095446,0.0004554621195265,0.0017026621290711,2.537432992952861e-06,0.0011941309695776,2.537432992952861e-06,0.0744260078092415,130.0384625907055
71,thymidine,2.84,8.0,5135306.5,0.4698537574507736,0.0098954366546785,7.698779093507833e-10,1.0067212933358415e-09,C10H14N2O5,17748,242.2286,Nucleotides,-1.17,0.0099214955971361,3.3284527433071856e-05,7.509424836887761e-07,8.576428509244873e-09,2.883762186041598e-09,7.344267620444381e-09,2.5329517777522536e-07,3.215015898214604e-08,2.854453367573714e-07,4.728939291603661e-09,1.64988746879559e-07,4.728939291603661e-09,0.0107555049286462,1.7665494707858418
72,trans-cinnamic acid,4.04,7.0,5642219.0,0.4772288269178709,0.0178362532532573,1.6527034133036454e-09,1.087510125168813e-09,C9H8O2,35697,148.15862,Organic acids,2.13,0.0136617488972213,4.276937281572731e-05,9.955308267183356e-06,5.4123437789934044e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.0144382950240628e-06,2.5180478687800785e-07,2.2662430819020705e-06,6.24004538835311e-08,3.339802727128809e-07,6.24004538835311e-08,0.0141690509459797,169.6751118926647
73,trans-ferulic acid,4.04,7.0,5642219.0,0.4830861925630708,0.0177989603234982,1.6524869377025544e-09,1.0484794535978462e-09,C10H10O4,17620,194.184,Organic acids,1.51,0.0136615253753371,4.294261719726031e-05,9.955308267183356e-06,5.4123295242788586e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.014761857837705e-06,2.286103062445752e-07,2.24337216408228e-06,6.272862983843635e-08,3.340669992908735e-07,6.272862983843635e-08,0.0141688802482835,169.8807234740807
74,trigonelline,4.04,7.0,5642219.0,0.4526851726943353,0.0177927944975852,1.652454582498262e-09,1.2587714099195962e-09,C7H7NO2,18123,137.13602,Organic acids,-4.29,0.0136617811479416,4.289307375963228e-05,6.941041477443564e-06,4.2493890019297046e-08,1.0760462083342545e-08,1.7318994142173778e-08,2.0111285522806084e-06,3.6288491584152635e-07,2.3740134681221347e-06,4.2571246413277536e-08,3.334659599352376e-07,4.2571246413277536e-08,0.0141691114440754,169.0146994643119
75,tryptophan,4.36,6.0,6067264.0,0.6278502437902824,0.0624134064430171,8.233976580082735e-09,3.852912216456405e-09,C11H12N2O2,27897,204.22526,Amino acids,-1.06,0.0624134064430171,0.0001780387734347,0.0005588246160622,5.323500862253171e-05,1.666642536938019e-06,3.268050310538549e-06,0.0019266733519868,0.0001976548884588,0.0021243282404457,3.9272073579099605e-06,0.0016786148443704,3.9272073579099605e-06,0.0784136496436256,133.0386326268666
76,uracil,2.84,8.0,5135306.5,0.2843117505347318,0.009893934411873952,7.697104029201873e-10,2.192415559265742e-09,C4H4N2O2,17568,112.08684,Nucleotides,-1.07,0.0095639056648992,3.327111766669111e-05,7.64171965503407e-07,8.816849929169881e-09,2.8854032561114686e-09,7.940579187037851e-09,2.53685214799528e-07,1.8982040547936705e-07,4.4350562027889515e-07,4.7287404915488195e-09,1.704443797830995e-07,4.7287404915488195e-09,0.0099776703239528,1.7740355223157618
77,uridine,2.84,8.0,5135306.5,0.4521763794130512,0.009895046654241301,7.698342986677008e-10,1.0820401892922262e-09,C9H12N2O6,16704,244.20146,Nucleotides,-1.98,0.0099210442872095,3.3283026224385646e-05,7.509539320376039e-07,8.578572198750715e-09,2.883845136661624e-09,7.286126932155635e-09,2.533082015472642e-07,4.2152375685159064e-08,2.954605772324233e-07,4.728907652712726e-09,1.6425748528103166e-07,4.728907652712726e-09,0.0107558150115309,1.770559276065074
78,valine ,4.36,6.0,6067264.0,0.5529470123602755,0.0600155948569641,8.213576580223876e-09,4.821474939149419e-09,C5H11NO2,27266,117.14638,Amino acids,-2.26,0.0600155948569641,0.0001736171451174,0.0004313397004829,4.175588413783818e-05,1.25314422010186e-06,2.516267116825976e-06,0.0014931943167519,0.0003732985791879,0.0018664928959399,3.0279500353764284e-06,0.0013952696763364,3.0279500353764284e-06,0.0749476214262595,131.50221626238618
79,vanillic acid,4.04,7.0,5642219.0,0.4638858689595242,0.0178279411446421,1.652424938026585e-09,1.1783641934666803e-09,C8H8O4,30816,168.14672,Organic acids,1.43,0.0136616224834445,4.282492428788713e-05,9.955308267183356e-06,5.233547672267725e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.012470099913444e-06,3.107277066244422e-07,2.3231978065378858e-06,6.153726824955688e-08,3.3369967053488685e-07,6.153726824955688e-08,0.014168977120912,169.44091554972204
80,vanillin,4.04,7.0,5642219.0,0.4685159877060433,0.0177972343358705,1.652560761405616e-09,1.142870293735295e-09,C8H8O3,18346,152.1473,Organic acids,1.21,0.0136617066785181,4.299640249767889e-05,9.955308267183356e-06,5.412334466462148e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.013207623833628e-06,2.8992357436096657e-07,2.3031311981945947e-06,6.184048790820127e-08,3.338014876715124e-07,6.184048790820127e-08,0.0141690397550186,169.49770568115932
81,xanthine,2.84,8.0,5135306.5,0.22505856841575445,0.0098921768006337,7.695096538191056e-10,2.9596864721755817e-09,C5H4N4O2,15318,152.111,Nucleotides,-0.73,0.0086417021450561,3.253085559179558e-05,6.778057576766417e-07,8.818771459134539e-09,2.886321773056201e-09,7.043140203024849e-09,2.5390321763058303e-07,2.921252073814235e-07,5.460284250120065e-07,3.513778553339726e-09,1.704021191232591e-07,3.513778553339726e-09,0.0095998016765847,1.7740205995318203
82,xylose,4.36,6.0,6067264.0,0.5188223202383407,0.0547360015697494,7.220740138188422e-09,3.6951834354812174e-09,C5H10O5,18222,150.13,Sugars,-2.32,0.0547360015697494,0.0001587361362179,0.0003833916682865,2.7445948609116302e-05,1.1537783914591663e-06,2.3640456593449807e-06,0.0012938348610953,0.000352265471087,0.0016461003321824,2.6776695258824284e-06,0.0012438684199856,2.6776695258824284e-06,0.0618853573933866,141.58809985644484
